ID;Intervention Chirurgicale;stress chir cortico;Antibioprophylaxie;Dose;Alternative;Dose Alternative;SPECIALITE;RISQUE HEMORRAGIQUE;CONTRÔLE HEMORRAGIQUE;GRAVITE_V;GRAVITE_F;IOT;ALR;ALR_ALTERATIVE
OPH-ANT-01;Chirurgie de la cataracte simple ou combinée;faible;Céfuroxime (intracamérulaire);1 mg/0,1 mL;Moxifloxacine (intracamérulaire);0,480 mg/0,3 mL;OPHTALMO;NUL;STANDARD;1;0;ML;AUCUNE;LOCALE
OPH-POST-01;Chirurgie de la cornée, du glaucome, de la rétine ou du vitré;faible;Pas d'antibioprophylaxie;Non applicable;Non applicable;Non applicable;OPHTALMO;NUL;STANDARD;1;0;ML;AUCUNE;LOCALE
OPH-TRA-01;Traumatisme à globe ouvert;;Vancomycine + Ceftazidime (intravitréenne);"Vancomycine : 1 mg/0,1 mL; Ceftazidime : 2,25 mg/0,1 mL";Amikacine (intravitréenne);0,2 mg/0,1 mL;OPHTALMO;NUL;STANDARD;1;3;STANDARD;AUCUNE;AUCUNE
NEU-CRA-01;Craniotomie, ventriculoscopie, visiochirurgie;;Céfazoline;2 g IVL initiale, 1 g si >4h, puis 1 g/4h;Clindamycine;900 mg IVL toutes les 6 h;NEUROCHIRURGIE;FAIBLE;RENFORCE;2;3;ARMEE;AUCUNE;AUCUNE
NEU-CRA-02;Biopsie cérébrale;;Pas d’antibioprophylaxie;N/A;N/A;N/A;NEUROCHIRURGIE;FAIBLE;RENFORCE;2;3;ARMEE;AUCUNE;AUCUNE
NEU-CRA-03;Chirurgie intracrânienne (trans-sphénoïdale/labyrinthique);;Céfazoline;2 g IVL initiale, 1 g si >4h, puis 1 g/4h;Clindamycine;900 mg IVL toutes les 6 h;NEUROCHIRURGIE;FAIBLE;RENFORCE;2;3;ARMEE;AUCUNE;AUCUNE
NEU-DER-01;Dérivation ventriculaire externe/lombaire;;Pas d’antibioprophylaxie;N/A;N/A;N/A;NEUROCHIRURGIE;FAIBLE;RENFORCE;2;3;ARMEE;AUCUNE;AUCUNE
NEU-DER-02;Dérivation ventriculaire interne (péritonéale, atriale);;Céfazoline;2 g IVL initiale, 1 g si >4h, puis 1 g/4h;Clindamycine;900 mg IVL toutes les 6 h;NEUROCHIRURGIE;FAIBLE;RENFORCE;2;3;ARMEE;AUCUNE;AUCUNE
NEU-CRA-04;Plaies crânio-cérébrales pénétrantes;;Amoxicilline/Clavulanate;2 g IVL initiale, 1 g si >2h, puis 1 g/2h;Clindamycine + Gentamicine;900 mg IVL + 6-7 mg/kg IVL (dose unique);NEUROCHIRURGIE;MAJEUR;RENFORCE;3;4;ARMEE;AUCUNE;AUCUNE
RAC-INS-01;Chirurgie instrumentée du rachis avec mise en place de matériel en 1 temps;;Céfazoline;2 g IVL initiale, 1 g si >4h, puis toutes les 4h jusqu’à la fin de la chirurgie;Clindamycine ou Vancomycine;900 mg IVL toutes les 6h ou 20 mg/kg IVL (dose unique);RACHIS;IMPORTANT;RENFORCE;1;2;ARMEE;AUCUNE;AUCUNE
RAC-INS-02;Chirurgie instrumentée du rachis avec pose de matériel en 2 temps;;Céfazoline;2 g IVL initiale, 1 g si >4h, puis toutes les 4h jusqu’à la fin de la chirurgie;Clindamycine ou Vancomycine;900 mg IVL toutes les 6h ou 20 mg/kg IVL (dose unique);RACHIS;IMPORTANT;RENFORCE;1;2;ARMEE;AUCUNE;AUCUNE
RAC-INS-03;Reprise de matériel quel que soit le délai;;Céfazoline;2 g IVL initiale, 1 g si >4h, puis toutes les 4h jusqu’à la fin de la chirurgie;Clindamycine ou Vancomycine;900 mg IVL toutes les 6h ou 20 mg/kg IVL (dose unique);RACHIS;IMPORTANT;RENFORCE;1;2;ARMEE;AUCUNE;AUCUNE
RAC-INS-04;Chirurgie du rachis percutanée avec pose de matériel;;Céfazoline;2 g IVL initiale, 1 g si >4h, puis toutes les 4h jusqu’à la fin de la chirurgie;Clindamycine ou Vancomycine;900 mg IVL toutes les 6h ou 20 mg/kg IVL (dose unique);RACHIS;IMPORTANT;RENFORCE;1;2;ARMEE;AUCUNE;AUCUNE
RAC-SIM-01;Chirurgie du rachis sans mise en place de matériel;;Pas d’antibioprophylaxie;Non applicable;Non applicable;Non applicable;RACHIS;IMPORTANT;RENFORCE;1;2;ARMEE;AUCUNE;AUCUNE
RAC-ABL-01;Ablation de matériel du rachis;;Pas d’antibioprophylaxie;Non applicable;Non applicable;Non applicable;RACHIS;IMPORTANT;RENFORCE;1;2;ARMEE;AUCUNE;AUCUNE
