medicament;code_atc;nom_atc_complet;premiere_classe;nom_premiere_classe;deuxieme_classe;nom_deuxieme_classe
ABACAVIR;J05AE08;atazanavir;J05;antiviraux à usage systémique;J05A;antiviraux à action directe
ABASAGLAR;A10AE04;insuline glargine;A10;médicaments du diabète;A10A;insulines et analogues
ABATACEPT;L04AA24;abatacept;L04;immunosuppresseurs;L04A;immunosuppresseurs
ABILIFY;N05AX12;aripiprazole;N05;psycholeptiques;N05A;antipsychotiques
ABIRATERONE;L02BX03;abiratérone;L02;thérapeutique endocrine;L02B;antihormones et apparentés
ABSTRAL;N02AB03;fentanyl;N02;analgésiques;N02A;opioïdes
ACARBOSE;A10BF01;acarbose;A10;médicaments du diabète;A10B;médicaments hypoglycémiants sauf insulines
ACARIZAX;V01AA03;acariens des poussières de maison;V01;allergènes;V01A;allergènes
ACEBUTOLOL;C07AB04;acébutolol;C07;bêtabloquants;C07A;bêtabloquants
ACETAZOLAMIDE;S01EC01;acétazolamide;S01;médicaments ophtalmiques ;S01E;antiglaucomateux et myotiques
ACETYLLEUCINE;N07CA04;acétylleucine;N07;autres médicaments du système nerveux;N07C;antivertigineux
ACICLOVIR;J05AB01;aciclovir;J05;antiviraux à usage systémique;J05A;antiviraux à action directe
ACLASTA;M05BA08;acide zolédronique;M05;médicaments pour le traitement des maladies osseuses;M05B;médicaments agissant sur la structure osseuse et la minéralisation
ACTILYSE;B01AD02;altéplase;B01;antithrombotiques;B01A;antithrombotiques
ACTISKENAN;;;;;;
ACTIVIR;D06BB03;aciclovir;D06;antibiotiques et agents chimiothérapeutiques à usage dermatologique;D06B;agents chimiothérapeutiques à usage topique
ACTONEL;M05BA07;acide risédronique;M05;médicaments pour le traitement des maladies osseuses;M05B;médicaments agissant sur la structure osseuse et la minéralisation
ACTOSOLV;B01AD04;urokinase;B01;antithrombotiques;B01A;antithrombotiques
ACTRAPID;A10AB01;insuline humaine;A10;médicaments du diabète;A10A;insulines et analogues
ACUPAN;N02BG06;néfopam;N02;analgésiques;N02B;autres analgésiques et antipyrétiques
ADALIMUMAB;L04AB04;adalimumab;L04;immunosuppresseurs;L04A;immunosuppresseurs
ADARTREL;N04BC04;ropinirole;N04;antiparkinsoniens;N04B;dopaminergiques
ADCIRCA;L04AA06;acide mycophénolique;L04;immunosuppresseurs;L04A;immunosuppresseurs
ADENURIC;M04AA03;fébuxostat;M04;antigoutteux;M04A;antigoutteux
ADEPAL;G03AA07;lévonorgestrel et éthinylestradiol;G03;hormones sexuelles et modulateurs de la fonction génitale;G03A;contraceptifs hormonaux à usage systémique
