ID;Sous-groupe;Intervention Chirurgicale;SPECIALITE;Risque H AOD - AVK;Risque H AAP;stress chir cortico
ALR-NEU-01;Anesthésie neuraxiale;Péridurale;ALR;TRES ELEVE;TRES ELEVE;FAIBLE
ALR-NEU-02;Anesthésie neuraxiale;Rachianesthésie;ALR;TRES ELEVE;TRES ELEVE;FAIBLE
ALR-NEU-03;Anesthésie neuraxiale;Péri-rachi combinée;ALR;TRES ELEVE;TRES ELEVE;FAIBLE
ALR-PRO-01;Blocs périphériques profonds;Blocs périphériques profonds (bloc paravertébral, bloc infraclaviculaire, bloc du plexus lombaire par voie postérieure…);ALR;ELEVE;INTERMEDIAIRE;FAIBLE
ALR-PER-01;Blocs périphériques superficiels;Blocs périphériques superficiels (bloc axillaire, fémoral, sciatique poplité, bloc des érecteurs…);ALR;FAIBLE;FAIBLE;FAIBLE
CDI-RYT-01;Rythmologie (PM, DAI, ablation);Ablation endocavitaire par cathéter pour flutter et FA (supraventriculaire);CARDIOLOGIE;Nul = pas d'arrêt;FAIBLE;NON FAIBLE
CDI-RYT-02;Rythmologie (PM, DAI, ablation);Explorations électrophysiologiques;CARDIOLOGIE;Nul = pas d'arrêt;FAIBLE;FAIBLE
CDI-RYT-03;Rythmologie (PM, DAI, ablation);Cardioversion électrique;CARDIOLOGIE;Nul = pas d'arrêt;FAIBLE;FAIBLE
CDI-RYT-04;Rythmologie (PM, DAI, ablation);Ablation endocavitaire par cathéter hors arythmies atriales;CARDIOLOGIE;FAIBLE;FAIBLE;NON FAIBLE
CDI-RYT-05;Rythmologie (PM, DAI, ablation);Ablation d’arythmie par voie épicardique;CARDIOLOGIE;FAIBLE;FAIBLE;NON FAIBLE
CDI-RYT-06;Rythmologie (PM, DAI, ablation);Stimulateurs et défibrillateurs de tous types;CARDIOLOGIE;FAIBLE;FAIBLE;NON FAIBLE
CDI-RYT-07;Rythmologie (PM, DAI, ablation);Défibrillateurs extravasculaires (voie sous costale);CARDIOLOGIE;ELEVE;INTERMEDIAIRE;NON FAIBLE
CDI-STR-01;Structurel (CIA, CIV, FOP, auricule, biopsie);Fermeture percutanée du foramen ovale perméable;CARDIOLOGIE;FAIBLE;FAIBLE;NON FAIBLE
CDI-STR-02;Structurel (CIA, CIV, FOP, auricule, biopsie);Fermeture percutanée de communication inter auriculaire;CARDIOLOGIE;FAIBLE;FAIBLE;NON FAIBLE
CDI-STR-03;Structurel (CIA, CIV, FOP, auricule, biopsie);Fermeture percutanée de communication inter ventriculaire;CARDIOLOGIE;ELEVE;INTERMEDIAIRE;NON FAIBLE
CDI-STR-04;Structurel (CIA, CIV, FOP, auricule, biopsie);Biopsie endomyocardique;CARDIOLOGIE;ELEVE;INTERMEDIAIRE;FAIBLE
CDI-STR-05;Structurel (CIA, CIV, FOP, auricule, biopsie);Intervention coronaire percutanée;CARDIOLOGIE;Nul = pas d'arrêt;FAIBLE;NON FAIBLE
CDI-VAL-01;Valves percutanées;Réparation tricuspide percutanée (TriClip);CARDIOLOGIE;FAIBLE;FAIBLE;NON FAIBLE
CDI-VAL-02;Valves percutanées;Remplacement valvulaire tricuspide par voie percutanée (TTVR);CARDIOLOGIE;FAIBLE;FAIBLE;NON FAIBLE
CDI-VAL-03;Valves percutanées;Réparation mitrale percutanée (MitraClip);CARDIOLOGIE;ELEVE;INTERMEDIAIRE;NON FAIBLE
CDI-VAL-04;Valves percutanées;Remplacement valvulaire aortique par voie percutanée (TAVI);CARDIOLOGIE;ELEVE;INTERMEDIAIRE;NON FAIBLE
CDI-VAL-05;Valves percutanées;Remplacement valvulaire mitral par voie percutanée (TMVR);CARDIOLOGIE;ELEVE;INTERMEDIAIRE;NON FAIBLE
CDI-VAL-06;Valves percutanées;Fermeture percutanée de fuite para-valvulaire;CARDIOLOGIE;ELEVE;INTERMEDIAIRE;NON FAIBLE
CAR-ASS-01;Assistance circulatoire;Assistance circulatoire de courte durée sans abord chirurgical (ECMO, Impella, CPIA, etc.);CHIR CARDIAQUE;ELEVE;INTERMEDIAIRE;NON FAIBLE
CAR-ASS-02;Assistance circulatoire;Assistance circulatoire avec abord chirurgical (ECMO, Impella, etc.);CHIR CARDIAQUE;ELEVE;INTERMEDIAIRE;NON FAIBLE
CAR-CEC-01;Chirurgie sous CEC;Tous les gestes sous CEC;CHIR CARDIAQUE;ELEVE;INTERMEDIAIRE;NON FAIBLE
CAR-DIS-01;Dispositifs;Pose de PM ou DAI épicardique;CHIR CARDIAQUE;ELEVE;INTERMEDIAIRE;NON FAIBLE
CAR-DIS-02;Dispositifs;Changement de sonde épicardique;CHIR CARDIAQUE;ELEVE;INTERMEDIAIRE;NON FAIBLE
CAR-DIV-01;Divers;Ablation des fils d'acier;CHIR CARDIAQUE;ELEVE;INTERMEDIAIRE;NON FAIBLE
CAR-DIV-02;Divers;Reprise de scarpa (faux anévrisme);CHIR CARDIAQUE;ELEVE;INTERMEDIAIRE;NON FAIBLE
CAR-DIV-03;Divers;Hémostase postopératoire après chirurgie cardiaque par sternotomie ou thoracotomie;CHIR CARDIAQUE;ELEVE;INTERMEDIAIRE;NON FAIBLE
CAR-DRN-01;Drainage / décompression péricardique;Drainage péricardique par thoracotomie ou sternotomie;CHIR CARDIAQUE;ELEVE;INTERMEDIAIRE;NON FAIBLE
CAR-DRN-02;Drainage / décompression péricardique;Fenêtre pleuropéricardique ou péritonéopéricardique;CHIR CARDIAQUE;ELEVE;INTERMEDIAIRE;NON FAIBLE
CO-AVU-01;Avulsions dentaires;Avulsion simple (sans alvéolectomie);CHIR ORALE;FAIBLE;FAIBLE;FAIBLE
CO-AVU-02;Avulsions dentaires;Avulsions multiples dans 1 même quadrant ou 2 quadrants d'un seul côté;CHIR ORALE;FAIBLE;FAIBLE;FAIBLE
CO-AVU-03;Avulsions dentaires;Avulsions multiples dans plus de 2 quadrants;CHIR ORALE;ELEVE;INTERMEDIAIRE;FAIBLE
CO-AVU-04;Avulsions dentaires;Avulsion de dent(s) incluse(s);CHIR ORALE;ELEVE;INTERMEDIAIRE;FAIBLE
CO-OSS-01;Chirurgie osseuse / greffes;Chirurgie pré-orthodontique d'une dent enclavée / pose de moyens d'ancrage;CHIR ORALE;ELEVE;INTERMEDIAIRE;FAIBLE
